badge,badge_type,brief,count,cv,follow,index_show,is_finish,media_id,play,pub_date,pub_real_time,renewal_time,score,season_id,staff,tags,title
,,以遥远的未来为舞台，地上的生物沉入了海底，被微生物吃掉成为无机物体。由于长时间的结晶变成宝石生命体的存在。那个拥有宝石身体的28人，与袭击他们打算将其作为装饰品的月人展开了一场又一场的战斗。,41089,"""磷叶石：黑泽朋世\n辰砂：小松未可子\n钻石：茅野爱衣\n圆粒金刚石：佐仓绫音\n摩根石：田村睦心\n透绿柱石：早见沙织\n金红石：内山夕实\n翡翠：高垣彩阳\n红绿柱石：内田真礼\n""",213万人追番,全12话,1,6434,3668.9万次播放,1507305600,1507305600,1514037600,9.8分,6434,"""原作：市川春子《宝石之国》（讲谈社《Afternoon》连载）\n监督：京极尚彦\n系列构成：大野敏哉\n角色设计：西田亚沙子\nCG总监督：井野元英二\n概念艺术：西川洋一\n色彩设计：三笠修\n摄影监督：藤田贤治\n编辑：今井大介\n音乐：藤泽庆昌\n音响监督：长崎行男\n动画制作：Orange""", 热血 战斗 漫改,宝石之国
付费观看,2,那是，在被忘却的月球上开演的“EXTRA”之物语。 存在于月球的，拥有能实现任何愿望之力量的灵子计算机“Mooncell Automaton”。 构筑于Mooncell内部的灵子虚构世界“SE.RA.,31733,"""岸浪白野：阿部敦\nSaber：丹下樱\n远坂凛：植田佳奈\n间桐慎二：神谷浩史\n间桐樱：下屋则子\nArcher：鸟海浩辅\nRider：高乃丽\nCaster：野中蓝\nBerserker：安井邦彦\nGawain：水岛大宙""",217.6万人追番,全13话,1,8772,2836.9万次播放,1517068800,1517068800,1532869200,8.9分,21464,"""原作：TYPE-MOON\u002FMarvelous\n总监督：新房昭之\n系列监督：宫本幸裕\n系列构成：奈须蘑菇\n角色设计：滝山真哲\n音乐：神前晓\n角色原案：ワダアルコ\n动画制作：SHAFT""", 奇幻 战斗 游戏改,Fate/EXTRA Last Encore
,,"我的妹妹小埋16岁，完美的妹妹，完美的高中生，但在家里却是个超懒的干物妹。
然而妹妹在家的一切她生活中的朋友并不知道，居住在同一栋楼的天然少女，以及无意间来到我家的冷酷少女，她们会发现小埋的真实面目吗",5293,"""土间埋：田中あいみ\n土间太平：野岛健儿\n海老名菜菜：影山灯\n橘·希尔芬福特：古川由利奈\n本场切绘：白石晴香\n本场猛：安元洋贵\n橘·亚力克斯：柿原彻也\n叶：小清水亚美""",253.1万人追番,全12话,1,2580,9035.6万次播放,1436284800,1436284800,1443035640,8.9分,2580,"""原作：サンカクヘッド\n监督：太田雅彦\n脚本：杉原研二、鸿野贵光、あおしまたかし、子安秀明\n演出：福本洁\n分镜：おざわかずひろ、太田雅彦、大隈孝晴\n系列构成：青岛崇\n角色设计：高野绫\n总作画监督：高野绫、中川洋未\n美术监督：池之上由纪\n色彩设计：真壁源太\n音响监督：虾名恭范\n音乐：三泽康广\n音乐制作：神南Studio\n编辑：小野寺绘美\n动画制作：动画工房""", 萌系 日常,干物妹！小埋
会员专享,0,樱集齐了会给世间带来灾难的“库洛牌”，并用魔法的力量将它们变成了自己的牌。樱花盛开的4月，小樱升入了初中1年级。而后，小樱与曾返回香港的小狼重逢，并一起开心地去往学校。某个夜里，收集的牌出现了异常……,38164,"""木之本樱：丹下樱\n可鲁贝洛斯：久川绫\n大道寺知世：岩男润子\n李小狼：熊井统子\n月城雪兔：緒方恵美\n木之本桃矢：关智一\n柊泽艾力欧：佐佐木望\n观月歌帆：篠原恵美\n诗之本秋穗：铃木实里""",246.6万人追番,全22话,1,8752,3740.3万次播放,1515254400,1515254400,1528592400,9.8分,21421,"""原作：CLAMP\n脚本：大川七瀬\n导演：浅香守生\n人物设定：滨田邦彦\n主题歌编曲：河野伸、仓内达矢\n主题歌作曲：水野良树\n系列构成：大川七瀬\n音乐：根岸贵幸\n制作：Madhouse""", 少女 魔法 漫改,魔卡少女樱 CLEAR CARD篇
,,"妹控小说家?羽岛伊月，随时有一群充满个性的人聚集在他的身旁。
爱与才能都是重量级，高阶的缺憾系美少女?可儿那由多。
对恋爱迷惘对友情迷惘对梦想迷惘的青春三冠王?白川京。
鬼畜税金拯救者?大野艾希莉。
",19469,"""羽岛伊月：小林裕介\n羽岛千寻：山本希望\n可儿那由多：金元寿子\n白川京：加隈亚衣\n不破春斗：日野聪\n土岐健次郎：鸟海浩辅\n惠那刹那：代永翼\n大野艾希莉：沼仓爱美\n三国山蚕：藤田茜""",229.8万人追番,全12话,1,6440,3720.5万次播放,1507392000,1507392000,1514127600,9.2分,6440,"""原作、系列构成、剧本：平坂读\n角色原案：监督\n监督：大沼心\n系列监督：玉村仁\n角色设计、总作画监督：木野下澄江\n主动画师：青木慎平\n道具设计：泉美纱子\n美术监督：坂上裕文\n色彩设计：平井麻实\n摄影监督：臼田睦\n编辑：REAL-T\n音响监督：土屋雅纪\n音乐：菊谷知树\n音乐制作：Lantis\n动画制作：SILVER LINK.""", 轻改 后宫 恋爱,如果有妹妹就好了。
,,作品主要讲述了某天，一款曾经掀起过大热潮的VRMMORPG「YGGDRASIL」停止了运营。游戏原本会停止一切服务，但过了结束时间后，玩家们却发现不能退出，NPC也产生了各自的思想。现实世界中喜爱电玩,15872,"""飞鼠：日野聪\n雅儿贝德：原由实\n夏提雅·布拉德弗伦：上坂堇\n亚乌菈·贝拉·菲欧拉：加藤英美里\n马雷·贝罗·菲欧雷：内山夕实\n迪米乌哥斯：加藤将之\n科塞特斯：三宅健太\n塞巴斯·蒂安：千叶繁\n娜贝拉尔..""",236.7万人追番,全13话,1,2576,1.3亿次播放,1436198400,1436198400,1443538800,9.6分,2576,"""监督：伊藤尚往\n脚本：菅原雪絵\n分镜：小野学、伊藤尚往、川尻善昭、松村政輝\n演出：伊藤尚往、松村政輝、山口美浩、倉谷涼一\n人物设定：大久保淳二、吉松孝博\n系列构成：菅原雪絵\n美术监督：池田繁美、丸山由紀子\n色彩设计：野口幸恵\n道具设计： 大久保淳二\n总作画监督：吉松孝博\n音乐：片山修志\n摄影监督： 川下裕樹\n剪辑： 木村佳史子\n动画制作：MADHOUSE""", 装逼 奇幻 战斗 轻改,OVERLORD
会员专享,0,在一栋大楼最底层甦醒的13岁少女，瑞吉儿·加德纳(レイチェル?ガードナー)，她没有任何记忆，不知道自己为何在这里，而为了回到地面，她开始试着逃出去，但是突然在她面前出现了脸上缠满绷带、拿着有如死神般的,20865,"""扎克：冈本信彦\n蕾：千菅春香\n丹尼：樱井孝宏\n艾迪：藤原夏海\n凯西：伊濑茉莉也""",249.4万人追番,更新至第10话,0,102792,3115.9万次播放,1530806400,1530806400,1536325206,9.7分,24625,"""原作：真田まこと\n监督：铃木健太郎\n系列构成：藤冈美畅\n角色设计&总作画监督：松元美季\n美术监督：魏斯曼（スタジオちゅーりっぷ）\n色彩设计：田边香奈\n摄影监督：高桥昭裕\n编集：近藤勇二（Real-T）\n音响监督：岩浪美和\n音响效果：小山恭正\n音乐：ノイジークローク\n音乐制作：Lantis\n动画制作：J.C.STAFF\n制作：「杀戮天使」制作委员会""", 恋爱 推理 游戏改,Angels of Death
,,故事讲述了青梅竹马之间、学生会长与不良少女之间、前辈与后辈之间、同学之间等多种不同角色的恋爱群像剧。,11918,"""菅原卓郎：石川界人\n高野千鹤：水濑祈\n刚田武：前野智昭\n上根绫香：小仓唯\n赤木正文：小野贤章\n梶亮子：佐仓绫音\n高濑春彦：熊谷健太郎\n神田沙希：三宅晴佳\n皆川由纪：花泽香菜\n古屋纯：天崎滉平\n古屋萤：户松遥\n香取慎一：浪川大辅 \n汤川英树：小野大辅\n笹原五月：内田真礼""",261.5万人追番,全12话,1,6312,4828.7万次播放,1499097600,1499097600,1505831400,9.6分,6312,"""原作：若林稔弥（周刊少年Magazine连载\u002F讲谈社）\n监督：金子拓\n助监督：笔坂明规\n系列构成、剧本：浦畑达彦\n角色设计、总作画监督：住本悦子\n美术：佐藤胜\n色彩设计：铃木依里\n摄影：加藤伸也\n编辑：斋藤朱里\n音响监督：立石弥生\n音乐：天门\n动画制作：Studio五组\n制作：NAS、徒然喜欢你制作委员会""", 恋爱 校园 漫改,徒然喜欢你
,,"小埋，复活！在房间无限展开的宇宙，再临……！
在外人人称羡的才色兼备“美妹”，一回到家，就变身成不为人知的一心犯懒“干物妹”……！？极尽无所事事之能事的干物妹小埋，一手可乐一手薯片，沉浸于漫画、游戏、",25659,"""土间埋：田中爱美\n土间太平：野岛健儿\n海老名菜菜：影山灯\n本场切绘：白石晴香\n橘·希尔芬福特：古川由利奈\n本场猛：安元洋贵\n橘·亚力克斯：柿原彻也\n叶课长：小清水亚美""",317.8万人追番,全12话,1,6446,6257万次播放,1507392000,1507392000,1514129399,9.4分,6446,"""原作：三角头（集英社《周刊YOUNG JUMP》连载）\n监督：太田雅彦\n副监督：大隈孝晴\n系列构成：青岛崇\n剧本：青岛崇\n角色设计：高野绫\n色彩设计：真壁源太\n美术监督：三宅昌和\n摄影监督：桑野贵文\n编辑：小野寺绘美\n音响监督：虾名恭范\n音乐：三泽康广\n音响制作：神南Studio\n动画制作：动画工房\n制作：《干物妹！小埋R》制作委员会""", 萌系 搞笑 日常 漫改,干物妹！小埋R
,,过去，在被称作冬木的城市曾举行过由七位魔术师与英灵参加的“圣杯战争”。然而趁着第二次世界大战的混乱，“某位魔术师”强行夺走了圣杯。数十年过去，千界树一族高举那个圣杯为象征，叛离了魔术协会，宣布独立。愤,66814,"""齐格：花江夏樹\n贞德：坂本真綾\n狮子劫界离：乃村健次\n莫德雷德：沢城みゆき\n天草四郎：内山昂輝\n赛米拉米斯：真堂圭\n阿塔兰忒：早見沙織\n迦尔纳：遊佐浩二\n阿喀琉斯：古川慎""",307.2万人追番,全25话,1,6301,9321.2万次播放,1498924800,1498924800,1514651400,5.1分,6301,"""导演：浅井義之\n人物设定：山田有慶\n原作：東出祐一郎、TYPE-MOON\n系列构成：東出祐一郎\n人物原案：近衛乙嗣\n色彩设计：土居真紀子\n美术监督：井上一宏\n音乐：横山克\n动画制作：A-1 Pictures""", 热血 战斗,Fate/Apocrypha
